"","subject","trigger","prime.x","list.x","target","stemid","correct_response","target.resp","target.acc","target.rt","target.rt.trm.err","relatedness","w_word","stem","affix","whl_word_len","afx_len","stem_len","transp","afx_onset","stem_frq","stem_logfrq","whl_word_freq","whl_word_logfrq","rel_frq","prime.y","afx_frq","med_splt","r1_splt","r1.5_splt","list.y","new.rt","log.rt","inverse.rt"
"2527",20,116,"tenth","List2","warm",16,6,6,1,477,477,"unrelated","warmth","warm","th",6,2,4,"transparent","consonant",94.177,1.978532012,24.987,1.414756146,1.398496848,"warmth","low","low","high","low","A",477,6.16751649088834,2.09643605870021
"2528",20,117,"freedom","List2","four",17,6,6,1,453,453,"unrelated","fourth","four","th",6,2,4,"transparent","consonant",319.714,2.506117918,45.274,1.665337042,1.504871298,"fourth","low","low","high","high","A",453,6.11589212548303,2.2075055187638
"2529",20,118,"kingdom","List2","boy",18,6,6,1,477,477,"unrelated","boyhood","boy","hood",7,4,3,"transparent","consonant",223.871,2.351933451,4.52145,0.742053144,3.16949462,"boyhood","low","high","high","high","A",477,6.16751649088834,2.09643605870021
"2530",20,119,"sapling","List2","eleven",19,6,6,1,591,591,"unrelated","eleventh","eleven","th",8,2,6,"transparent","consonant",40.0386,1.613192537,4.69993,0.755869522,2.134220904,"eleventh","low","low","high","high","A",591,6.3818160174061,1.69204737732657
"2531",20,120,"earthling","List2","six",20,6,6,1,531,531,"unrelated","sixth","six","th",5,2,3,"transparent","consonant",203.227,2.310113158,16.063,1.232055391,1.875007547,"sixth","low","low","high","high","A",531,6.27476202124194,1.88323917137476
"2532",20,122,"serfdom","List2","star",22,6,6,1,472,472,"unrelated","stardom","star","dom",7,3,4,"transparent","consonant",54.6738,1.745650865,1.13036,0.328452999,5.314766085,"stardom","low","high","high","high","A",472,6.15697898558556,2.11864406779661
"2533",20,123,"health","List2","man",23,6,6,1,607,607,"unrelated","manhood","man","hood",7,4,3,"transparent","consonant",1024.11,3.01077047,6.06826,0.849312516,3.5449500740138,"manhood","low","high","high","high","A",607,6.4085287910595,1.64744645799012
"2534",20,124,"seedling","List1","bore",24,6,6,1,662,662,"unrelated","boredom","bore","dom",7,3,4,"transparent","consonant",28.497,1.469777848,15.2301,1.210321196,1.214370079,"boredom","low","low","high","low","B",662,6.49526555593701,1.51057401812689
"2535",20,125,"warmth","List1","ten",25,6,6,1,660,660,"unrelated","tenth","ten","th",5,2,3,"transparent","consonant",219.647,2.343698027,10.5302,1.061836841,2.207211065,"tenth","low","low","high","high","B",660,6.49223983502047,1.51515151515152
"2536",20,126,"fourth","List1","free",26,6,6,1,1192,1192,"unrelated","freedom","free","dom",7,3,4,"transparent","consonant",209.652,2.323565587,101.673,2.011456252,1.155165857,"freedom","low","low","high","low","B",1192,7.0833878476253,0.838926174496644
