"","subject","trigger","prime.x","list.x","target","stemid","correct_response","target.resp","target.acc","target.rt","target.rt.trm.err","relatedness","w_word","stem","affix","whl_word_len","afx_len","stem_len","transp","afx_onset","stem_frq","stem_logfrq","whl_word_freq","whl_word_logfrq","rel_frq","prime.y","afx_frq","med_splt","r1_splt","r1.5_splt","list.y","new.rt","log.rt","inverse.rt"
"1548",14,148,"acidify","List1","racket",48,6,6,1,727,727,"unrelated","racketeer","racket","eer",9,3,6,"transparent","vowel",11.7201,1.104490526,0.0594928,0.02509801,44.0070938689126,"racketeer","low","high","high","high","B",727,6.58892647753352,0.00137551581843191
"1549",14,149,"frontier","List1","musket",49,6,5,0,855,NA,"unrelated","musketeer","musket","eer",9,3,6,"transparent","vowel",0.65442,0.218645772,0,0,218645772,"musketeer","low","high","high","high","B",591.400743331876,6.38249386431964,0.00169090081687441
"1550",14,150,"humidify","List1","cloth",50,6,6,1,686,686,"unrelated","clothier","cloth","ier",8,3,5,"transparent","vowel",47.2967,1.683917457,0,0,1683917457,"clothier","low","high","high","high","B",686,6.53087762772588,0.00145772594752187
"1551",14,151,"imply","List2","wit",51,6,6,1,731,731,"unrelated","witness","wit","ness",7,4,3,"opaque","consonant",11.0062,1.079405574,23.7376,1.393357563,0.774679524,"witness","high","low","low","low","A",731,6.59441345974978,0.00136798905608755
"1552",14,152,"witness","List1","imp",52,6,6,1,1062,1062,"unrelated","imply","imp","ly",5,2,3,"opaque","consonant",1.01138,0.303494127,12.1365,1.11847967,0.271345233059672,"imply","high","low","low","low","B",1062,6.96790920180188,0.000941619585687382
"1553",14,153,"flower","List2","list",53,6,5,0,643,NA,"unrelated","listen","list","en",6,2,4,"opaque","vowel",74.6634,1.878885853,75.4368,1.883302497,0.99765484,"listen","high","low","low","low","A",591.400743331876,6.38249386431964,0.00169090081687441
"1554",14,154,"traitor","List2","past",54,6,6,1,602,602,"unrelated","pastor","past","or",6,2,4,"opaque","vowel",273.786,2.438994602,3.62906,0.66549281,3.66494507782143,"pastor","high","high","high","high","A",602,6.40025744530882,0.00166112956810631
"1555",14,155,"limber","List2","ban",55,6,6,1,848,848,"unrelated","banish","ban","ish",6,3,3,"opaque","vowel",13.6833,1.166823672,2.14174,0.497170241,2.346929831,"banish","high","low","high","high","A",848,6.7428806357919,0.00117924528301887
"1556",14,156,"hunger","List2","heath",56,6,5,0,1736,NA,"unrelated","heathen","heath","en",7,2,5,"opaque","vowel",13.6238,1.165060239,2.55819,0.551229135,2.113567957,"heathen","high","low","high","high","A",591.400743331876,6.38249386431964,0.00169090081687441
"1557",14,157,"pollen","List2","mist",57,6,6,1,612,612,"unrelated","mister","mist","er",6,2,4,"opaque","vowel",13.8023,1.170329202,7.02015,0.904182491,1.294350656,"mister","high","low","high","low","A",612,6.41673228251233,0.00163398692810458
"1558",14,158,"vanish","List2","rapt",58,6,6,1,955,955,"unrelated","raptor","rapt","or",6,2,4,"opaque","vowel",2.14174,0.497170241,0,0,497170241,"raptor","high","high","high","high","A",955,6.86171134048073,0.00104712041884817
"1559",14,159,"listen","List1","flow",59,6,6,1,536,536,"unrelated","flower","flow","er",6,2,4,"opaque","vowel",41.9424,1.632886313,27.9616,1.461822551,1.11702088,"flower","high","low","high","low","B",536,6.2841341610708,0.00186567164179104
"1560",14,160,"pastor","List1","trait",60,6,6,1,591,591,"unrelated","traitor","trait","or",7,2,5,"opaque","vowel",3.2721,0.63064141,6.18725,0.856562752,0.736246594649674,"traitor","high","low","low","low","B",591,6.3818160174061,0.00169204737732657
"1561",14,161,"banish","List1","limb",61,6,6,1,622,622,"unrelated","limber","limb","er",6,2,4,"opaque","vowel",7.91254,0.950001492,0.773406,0.248808173,3.818208529,"limber","high","high","high","high","B",622,6.43294009273918,0.00160771704180064
"1562",14,162,"heathen","List1","hung",62,6,6,1,869,869,"unrelated","hunger","hung","er",6,2,4,"opaque","vowel",58.6004,1.775249174,25.2249,1.418713841,1.251308841,"hunger","high","low","high","low","B",869,6.76734312526539,0.00115074798619102
"1563",14,163,"mister","List1","poll",63,6,6,1,622,622,"unrelated","pollen","poll","en",6,2,4,"opaque","vowel",8.38848,0.972595285,5.88978,0.838205355,1.160330554,"pollen","high","low","high","low","B",622,6.43294009273918,0.00160771704180064
"1564",14,164,"raptor","List1","van",64,6,6,1,564,564,"unrelated","vanish","van","ish",6,3,3,"opaque","vowel",56.3396,1.758454659,6.18725,0.856562752,2.052919827,"vanish","high","low","high","high","B",564,6.33505425149806,0.00177304964539007
"1565",14,165,"weakness","List2","help",65,6,6,1,592,592,"unrelated","helpless","help","less",8,4,4,"transparent","consonant",375.221,2.575443033,19.3351,1.308246312,1.968622428,"helpless","high","low","high","high","A",592,6.38350663488401,0.00168918918918919
"1566",14,166,"greatly","List2","chief",66,6,6,1,623,623,"unrelated","chiefly","chief","ly",7,2,5,"transparent","consonant",105.54,2.027512692,11.3036,1.090032203,1.860048432,"chiefly","high","low","high","high","A",623,6.43454651878745,0.00160513643659711
"1567",14,167,"illness","List2","strong",67,6,6,1,583,583,"unrelated","strongly","strong","ly",8,2,6,"transparent","consonant",167.948,2.227753055,42.3588,1.637077254,1.360811195,"strongly","high","low","high","low","A",583,6.36818718635049,0.00171526586620926
"1568",14,168,"calmness","List2","deaf",68,6,6,1,539,539,"unrelated","deafness","deaf","ness",8,4,4,"transparent","consonant",9.51884,1.021967849,2.08225,0.488867861,2.090478693,"deafness","high","low","high","high","A",539,6.289715570909,0.00185528756957328
"1569",14,169,"deathlike","List2","dead",69,6,6,1,555,555,"unrelated","deadly","dead","ly",6,2,4,"transparent","consonant",190.079,2.28121296,13.6833,1.166823672,1.95506228814746,"deadly","high","low","high","high","A",555,6.31896811374643,0.0018018018018018
"1570",14,170,"waiflike","List2","sick",70,6,6,1,614,614,"unrelated","sickness","sick","ness",8,4,4,"transparent","consonant",70.6179,1.855021582,16.4795,1.242529006,1.492940263,"sickness","high","low","high","low","A",614,6.41999492814714,0.00162866449511401
"1571",14,171,"highly","List2","worth",71,6,6,1,650,650,"unrelated","worthless","worth","less",9,4,5,"transparent","consonant",99.1149,2.000498718,5.17587,0.790698146,2.530040984,"worthless","high","high","high","high","A",650,6.47697236288968,0.00153846153846154
"1572",14,172,"stainless","List2","thank",72,6,6,1,732,732,"unrelated","thankless","thank","less",9,4,5,"transparent","consonant",69.4875,1.848112108,0.65442,0.218645772,8.452539844,"thankless","high","high","high","high","A",732,6.59578051396131,0.00136612021857923
"1573",14,173,"warlike","List2","tooth",73,6,6,1,562,562,"unrelated","toothless","tooth","less",9,NA,5,"transparent","consonant",13.5643,1.163289616,1.84428,0.453972347,2.562468003,"toothless","high","high","high","high","A",562,6.33150184989369,0.00177935943060498
"1574",14,174,"helpless","List1","weak",74,6,6,1,470,470,"unrelated","weakness","weak","ness",8,4,4,"transparent","consonant",47.9512,1.689763343,21.8338,1.358578193,1.243773344,"weakness","high","low","high","low","B",470,6.1527326947041,0.00212765957446809
"1575",14,175,"chiefly","List1","great",75,6,6,1,617,617,"unrelated","greatly","great","ly",7,2,5,"transparent","consonant",639.726,2.806672348,40.3361,1.616329499,1.736448136,"greatly","high","low","high","high","B",617,6.42486902390539,0.00162074554294976
"1576",14,176,"strongly","List1","ill",76,6,6,1,807,807,"unrelated","illness","ill","ness",7,4,3,"transparent","consonant",56.5181,1.759804532,35.3982,1.561079907,1.127299457,"illness","high","low","high","low","B",807,6.69332366826995,0.00123915737298637
"1577",14,177,"deafness","List1","calm",77,6,6,1,519,519,"unrelated","calmness","calm","ness",8,4,4,"transparent","consonant",41.288,1.626217146,1.01138,0.303494127,5.358315025,"calmness","high","high","high","high","B",519,6.25190388316589,0.00192678227360308
"1578",14,178,"deadly","List1","death",78,6,6,1,604,604,"unrelated","deathlike","death","like",9,4,5,"transparent","consonant",233.152,2.369497872,0,0,2369497872,"deathlike","high","high","high","high","B",604,6.40357419793482,0.00165562913907285
"1579",14,179,"sickness","List1","waif",79,6,5,0,916,NA,"unrelated","waiflike","waif","like",8,4,4,"transparent","consonant",0.773406,0.248808173,0,0,248808173,"waiflike","high","high","high","high","B",591.400743331876,6.38249386431964,0.00169090081687441
"1580",14,180,"worthless","List1","high",80,6,6,1,566,566,"unrelated","highly","high","ly",6,2,4,"transparent","consonant",369.866,2.56921702,93.8796,1.977172845,1.2994397658241,"highly","high","low","high","low","B",566,6.33859407820318,0.00176678445229682
"1581",14,181,"thankless","List1","stain",81,6,6,1,570,570,"unrelated","stainless","stain","less",9,4,5,"transparent","consonant",7.3771,0.9230937,2.37971,0.528879437,1.7453764197957,"stainless","high","low","high","high","B",570,6.3456363608286,0.00175438596491228
"1582",14,182,"toothless","List1","war",82,6,6,1,528,528,"unrelated","warlike","war","like",7,4,3,"transparent","consonant",340.12,2.532907183,1.6063,0.416024404,6.088362011,"warlike","high","high","high","high","B",528,6.26909628370626,0.00189393939393939
"1583",14,183,"drawer","List2","tract",83,6,6,1,769,769,"unrelated","tractor","tract","or",7,2,5,"transparent","vowel",3.45058,0.648416612,7.25812,0.916881189,0.707198074,"tractor","high","low","low","low","A",769,6.64509096950564,0.00130039011703511
"1584",14,184,"greenish","List2","sculpt",84,6,6,1,656,656,"unrelated","sculptor","sculpt","or",8,2,6,"transparent","vowel",0,0,3.62906,0.66549281,0,"sculptor","high","low","low","low","A",656,6.48616078894409,0.00152439024390244
"1585",14,185,"bookish","List2","self",85,6,6,1,557,557,"unrelated","selfish","self","ish",7,3,4,"transparent","vowel",38.9083,1.601063228,12.196,1.120442307,1.428956419,"selfish","high","low","high","low","A",557,6.32256523992728,0.00179533213644524
"1586",14,186,"drunken","List2","fresh",86,6,6,1,624,624,"unrelated","freshen","fresh","en",7,2,5,"transparent","vowel",73.8305,1.874078647,0.475942,0.169069291,11.084677914,"freshen","high","high","high","high","A",624,6.43615036836943,0.0016025641025641
"1587",14,187,"foolish","List2","debt",87,6,6,1,597,597,"unrelated","debtor","debt","or",6,2,4,"transparent","vowel",26.1768,1.434198318,0.951884,0.290454004,4.937781175,"debtor","high","high","high","high","A",597,6.3919171133926,0.0016750418760469
"1588",14,188,"freakish","List2","pray",88,6,6,1,704,704,"unrelated","prayer","pray","er",6,2,4,"transparent","vowel",15.1707,1.20872882,20.5845,1.334141993,0.90599713181654,"prayer","high","low","low","low","A",704,6.55677835615804,0.00142045454545455
"1589",14,189,"flaxen","List2","profess",89,6,6,1,620,620,"unrelated","professor","profess","or",9,2,7,"transparent","vowel",0.951884,0.290454004,74.9609,1.880590102,0.154448332,"professor","high","low","low","low","A",620,6.42971947803914,0.00161290322580645
"1590",14,190,"hunter","List2","soft",90,6,6,1,577,577,"unrelated","soften","soft","en",6,2,4,"transparent","vowel",81.0886,1.914282849,4.04551,0.702905071,2.723387446,"soften","high","high","high","high","A",577,6.3578422665081,0.00173310225303293
"1591",14,191,"sailor","List2","fast",91,6,6,1,610,610,"unrelated","fasten","fast","en",6,2,4,"transparent","vowel",102.982,2.016958166,2.85565,0.586097604,3.441334939,"fasten","high","high","high","high","A",610,6.41345895716736,0.00163934426229508
"1592",14,192,"tractor","List1","draw",92,6,6,1,555,555,"unrelated","drawer","draw","er",6,2,4,"transparent","vowel",58.7194,1.776115436,16.0036,1.23054088,1.44336158466888,"drawer","high","low","high","low","B",555,6.31896811374643,0.0018018018018018
"1593",14,193,"sculptor","List1","green",93,6,6,1,802,802,"unrelated","greenish","green","ish",8,3,5,"transparent","vowel",154.027,2.190407343,2.73667,0.572484745,3.826140973,"greenish","high","high","high","high","B",802,6.68710860786651,0.00124688279301746
"1594",14,194,"selfish","List1","book",94,6,6,1,555,555,"unrelated","bookish","book","ish",7,3,4,"transparent","vowel",252.249,2.403547739,1.6063,0.416024404,5.777420051,"bookish","high","high","high","high","B",555,6.31896811374643,0.0018018018018018
"1595",14,195,"freshen","List1","drunk",95,6,6,1,554,554,"unrelated","drunken","drunk","en",7,2,5,"transparent","vowel",38.4918,1.596506929,8.21,0.96425963,1.65568160034276,"drunken","high","low","high","high","B",554,6.31716468674728,0.00180505415162455
"1596",14,196,"debtor","List1","fool",96,6,6,1,691,691,"unrelated","foolish","fool","ish",7,3,4,"transparent","vowel",37.4804,1.585239578,20.525,1.33294316,1.18927770094167,"foolish","high","low","high","low","B",691,6.53813982376767,0.00144717800289436
"1597",14,197,"prayer","List1","freak",97,6,6,1,605,605,"unrelated","freakish","freak","ish",8,3,5,"transparent","vowel",5.35435,0.803071132,0.713913,0.233988773,3.432092567,"freakish","high","high","high","high","B",605,6.40522845803084,0.00165289256198347
"1598",14,198,"professor","List1","flax",98,6,6,1,593,593,"unrelated","flaxen","flax","en",6,2,4,"transparent","vowel",2.20123,0.505316878,0.118986,0.048824653,10.349625376,"flaxen","high","high","high","high","B",593,6.38519439899773,0.00168634064080944
"1599",14,199,"soften","List1","hunt",99,6,6,1,606,606,"unrelated","hunter","hunt","er",6,2,4,"transparent","vowel",22.9642,1.379562935,11.8391,1.108534581,1.244492465,"hunter","high","low","high","low","B",606,6.40687998606931,0.00165016501650165
"1600",14,200,"fasten","List1","sail",100,6,6,1,708,708,"unrelated","sailor","sail","or",6,2,4,"transparent","vowel",8.21,0.96425963,5.88978,0.838205355,1.15038590853385,"sailor","high","low","high","low","B",708,6.56244409369372,0.00141242937853107
"1601",15,1,"breadth","List2","bread",1,6,6,1,599,599,"related","breadth","bread","th",7,2,5,"opaque","consonant",76.9836,1.89200328,4.40246,0.73259156,2.58261681,"breadth","low","high","high","high","A",599,6.39526159811545,0.00166944908180301
"1602",15,2,"hearth","List2","hear",2,6,6,1,609,609,"related","hearth","hear","th",6,2,4,"opaque","consonant",183.476,2.265939873,4.64044,0.751312984,3.01597326,"hearth","low","high","high","high","A",609,6.4118182677099,0.00164203612479475
"1603",15,3,"youth","List2","you",3,6,6,1,492,492,"related","youth","you","th",5,2,3,"opaque","consonant",6334.67,3.801792548,63.4788,1.809416946,2.101114701,"youth","low","low","high","high","A",492,6.19847871649231,0.00203252032520325
"1604",15,4,"kindling","List1","kind",4,6,6,1,368,368,"related","kindling","kind","ling",8,4,4,"opaque","consonant",409.846,2.613679063,0.951884,0.290454004,8.998598807,"kindling","low","high","high","high","B",368,5.90808293816893,0.00271739130434783
"1605",15,5,"dumpling","List1","dump",5,6,6,1,655,655,"related","dumpling","dump","ling",8,4,4,"opaque","consonant",7.67457,0.938247956,0.356957,0.132566086,7.077586563,"dumpling","low","high","high","high","B",655,6.48463523563525,0.00152671755725191
"1606",15,6,"random","List1","ran",6,6,6,1,606,606,"related","random","ran","dom",6,3,3,"opaque","consonant",116.606,2.070429479,18.2643,1.284753233,1.61153864,"random","low","low","high","high","B",606,6.40687998606931,0.00165016501650165
"1607",15,7,"dearth","List1","dear",7,6,6,1,477,477,"related","dearth","dear","th",6,2,4,"opaque","consonant",119.58,2.08127528,0.951884,0.290454004,7.16559332690214,"dearth","low","high","high","high","B",477,6.16751649088834,0.00209643605870021
